propensao,nome,cnpj,porte,bairro,idade_anos,unidades,capital_social,telefone,arquetipo,capacidade,fit_ticket
0.8840,CRIE ODONTOLOGIA,06.092.065/0001-90,DEMAIS,ASA NORTE,22,1,100000.0,(61) 33264245,especialista_alto_ticket,0.71,1.0
0.8760,SALLUM - ODONTOLOGIA ESTETICA,18.661.055/0001-08,DEMAIS,ASA SUL,13,1,250000.0,(61) 32250655,especialista_alto_ticket,0.69,1.0
0.8760,CLAUDIO PINHO ODONTOLOGIA,18.256.199/0001-89,DEMAIS,ASA SUL,13,1,100000.0,(61) 33210999,marca_pessoal,0.69,1.0
0.8720,WV IMPLANTODONTIA,20.600.926/0001-25,DEMAIS,ASA SUL,12,1,30000.0,(61) 33545337,especialista_alto_ticket,0.68,1.0
0.8720,TALITA CHIMELI ODONTOLOGIA ESTETICA AVANCADA,17.558.238/0001-30,EPP,ASA SUL,13,1,5000.0,(61) 84967376,marca_pessoal,0.68,1.0
0.8680,CENTRO CLINICO DE ORTODONTIA GOMIDE LTDA,09.297.726/0001-02,EPP,ASA SUL,18,1,30000.0,(61) 33270404,especialista_alto_ticket,0.67,1.0
0.8680,BICALHO ORTODONTIA,08.195.989/0001-48,EPP,ASA NORTE,20,1,20000.0,(61) 33280072,especialista_alto_ticket,0.67,1.0
0.8670,IMPLANT CENTER,02.947.854/0001-05,EPP,ASA SUL,27,1,300000.0,(61) 32242882,especialista_alto_ticket,0.78,1.0
0.8630,CIR PREMIER - CENT DE EXC EM REABILIT E ESTETICA ORAL,38.078.804/0001-86,DEMAIS,LAGO SUL,32,1,640000.0,(61) 33469001,especialista_alto_ticket,0.77,1.0
0.8560,BRASILIA IMPLANTES,13.597.580/0001-98,DEMAIS,ASA NORTE,15,1,50000.0,(61) 32016011,especialista_alto_ticket,0.64,1.0
0.8560,ORTHO LIFE,17.738.983/0001-60,DEMAIS,ASA SUL,13,1,10000.0,(61) 32258767,especialista_alto_ticket,0.64,1.0
0.8520,IMPLANTO,06.894.189/0001-90,DEMAIS,ASA SUL,22,1,30000.0,(61) 32451122,especialista_alto_ticket,0.63,1.0
0.8520,SIGA ODONTOLOGIA ESPECIALIZADA,04.960.797/0001-20,DEMAIS,ASA SUL,24,1,30000.0,(61) 20995454,especialista_alto_ticket,0.63,1.0
0.8510,AQUARIUM ODONTOLOGIA E HARMONIZACAO,02.729.456/0001-12,DEMAIS,ASA SUL,28,1,67800.0,(61) 99881987,especialista_alto_ticket,0.74,1.0
0.8480,PRIME ESTETICA FACIAL,15.916.061/0001-70,EPP,ASA SUL,14,1,30000.0,(61) 96999798,especialista_alto_ticket,0.62,1.0
0.8460,MOYA ORTODONTIA E ORTOPEDIA FACIAL,04.807.338/0001-00,DEMAIS,ASA NORTE,24,2,9000.0,(61) 32025236,multi_unidade,0.64,1.0
0.8440,AMAZING HOF,06.091.551/0001-94,ME,SUL (AGUAS CLARAS),22,1,2500000.0,(61) 82136761,especialista_alto_ticket,0.61,1.0
