cnpj_basico,n_socios,n_administradores,socio_mais_antigo
63157144,1,0,2025-10-13
31041381,1,0,2018-07-20
61800156,1,0,2025-07-17
53754797,1,0,2024-02-01
40088755,1,0,2020-12-11
31805503,2,1,2018-10-08
18604062,2,1,2013-06-21
48862217,1,0,2022-12-12
35004244,1,0,2019-09-23
25079637,2,2,2016-06-14
63415344,1,0,2025-10-29
61669236,1,0,2025-07-09
20164504,1,0,2014-03-21
58019089,1,0,2024-11-07
22465282,2,1,2015-04-10
61350779,1,0,2025-06-17
49019500,1,0,2023-01-02
10404140,2,1,2008-10-03
01164774,2,1,1996-03-12
57697210,1,0,2024-10-15
35743439,1,0,2019-12-09
62470860,1,0,2025-08-29
54955074,1,0,2024-04-30
35405493,1,0,2019-10-31
38561172,2,2,2020-09-18
24573630,11,3,2016-04-06
51884719,1,0,2023-08-21
24069725,3,2,2015-06-12
61026887,1,0,2025-05-27
55693044,1,0,2024-06-26
61349394,1,0,2025-06-17
44967055,1,0,2022-01-21
35258473,1,0,2019-10-21
52478346,1,0,2023-10-09
41237038,2,1,2021-03-16
51126918,1,0,2023-06-21
52700558,1,0,2023-10-27
57084384,1,0,2024-08-30
29147809,4,2,2017-11-14
63015482,1,0,2025-10-02
